"",11676,98391
0002251213,1,5
0002251485,8,5
0002251760,1,5
0002251892,1,5
0002251930,1,5
0002252031,1,5
0002252066,1,5
000225218X,1,5
0002252341,1,5
0002252376,1,5
0002253097,1,5
0002253178,1,5
0002253186,1,5
0002253305,1,5
0002253372,1,5
0002253402,1,5
0002253569,1,5
0002253984,1,5
0002254123,1,5
0002254131,1,5
000225414X,1,5
0002254182,1,5
0002254271,1,5
0002254301,1,5
0002254697,1,5
0002255006,1,5
0002255014,8,5
0002255081,1,5
0002255103,1,5
0002255146,1,5
0002255243,1,5
0002255464,1,5
0002255553,1,5
0002255731,1,5
0002255855,1,5
000225669X,1,5
000225669x,1,5
0002256886,1,5
0002256967,1,5
0002257084,1,5
0002257114,1,5
0002257122,1,5
0002257203,1,5
0002257378,1,5
0002257580,1,5
0002258358,1,5
0002258366,1,5
0002258382,1,5
000225851X,1,5
0002258560,8,5
0002258579,1,5
0002258587,1,5
000225929X,10,5
000225946X,1,5
0002259478,1,5
0002259834,1,5
0002259877,1,5
0002261022,1,5
0002261189,1,5
0002261200,1,5
0002261529,1,5
0002261804,1,5
0002261820,1,5
0002310694,1,5
0002311216,1,5
0002313073,1,5
0002313189,1,5
0002315394,1,5
0002316196,1,5
0002317141,1,5
000231780X,1,5
0002317850,1,5
0002322951,1,5
0002323338,1,5
0002323540,1,5
0002325780,1,5
000232587X,1,5
0002326833,1,5
0002431548,1,5
000250653X,1,5
0002550059,1,5
0002550156,1,5
0002550555,1,5
0002550563,1,5
0002551195,1,5
0002551462,1,5
0002551675,1,5
0002552175,1,5
0002552256,1,5
0002552272,1,5
0002552396,1,5
0002552574,1,5
0002553384,1,5
0002553686,1,5
000255397X,1,5
0002554062,1,5
0002554119,1,5
0002554151,1,5
0002554232,1,5
0002554259,1,5
0002554283,1,5
000255433X,1,5
0002554429,1,5
000255478X,1,5
0002554925,1,5
0002555107,1,5
0002555298,1,5
0002555565,1,5
0002556030,1,5
0002557029,1,5
000255710X,1,5
0002557290,1,5
0002557398,1,5
0002557487,1,5
0002557517,1,5
000255755X,1,5
0002558033,1,5
0002558122,8,5
0002558386,1,5
0002558661,1,5
0002570130,1,5
0002621010,1,5
0002621509,1,5
0002711567,1,5
0002712172,1,5
0002712180,1,5
0002713276,1,5
0002713349,1,5
0002720310,1,5
0002726874,1,5
0002727463,1,5
0002740060,1,5
0002740230,1,5
0002740435,1,5
000274094X,1,5
0002740958,1,5
0003032701,1,5
0003131696,1,5
0003135004,1,5
0003235173,1,5
0003252477,1,5
0003252485,1,5
0003252531,1,5
0003272109,1,5
0003277585,1,5
0003300277,1,5
0003302474,1,5
0003700933,1,5
0003701131,1,5
0003701182,1,5
0003701328,1,5
0003701352,1,5
0003701387,1,5
0003701468,1,5
0003701484,1,5
0003701581,1,5
0003701727,1,5
0004102169,1,5
0004105028,1,5
0004109066,1,5
0004116941,1,5
0004121120,1,5
0004123948,1,5
0004125576,1,5
0004126491,1,5
0004127382,1,5
0004127854,1,5
000412913X,1,5
0004133412,1,5
0004133439,1,5
0004133803,1,5
0004333349,1,5
0004334787,1,5
000433549X,1,5
0004343859,1,5
0004356373,1,5
0004481771,1,5
0004483642,1,5
0004489640,1,5
0004585445,1,5
0004586298,1,5
0004586654,1,5
000458726X,1,5
0004588010,1,5
0004588177,1,5
0004588185,1,5
000458824X,1,5
0004589777,1,5
0004595033,1,5
0004700481,1,5
0004701674,1,5
0004702816,1,5
0004703723,1,5
0004704746,1,5
0004704754,1,5
0004704932,1,5
0004705408,1,5
0004705440,1,5
0004707478,1,5
0004707532,1,5
000470763X,1,5
0004708105,1,5
0004709721,1,5
000470973X,1,5
0004709934,1,5
0004709950,1,5
0004720148,1,5
0004720164,1,5
0004720601,1,5
0004720695,1,5
0004720741,1,5
0004722124,1,5
0004722639,1,5
0004722647,1,5
0004723023,1,5
0004723171,1,5
0004723201,1,5
0004723708,1,5
0004723724,1,5
0004724097,1,5
0004724119,1,5
0004725018,1,5
0004725042,1,5
0005128412,1,5
000599134X,1,5
0006117252,1,5
0006119190,1,5
000611962X,1,5
0006119875,1,5
0006121071,1,5
0006125107,1,5
0006127665,1,5
0006131409,7,5
0006132138,1,5
0006135889,1,5
0006135986,1,5
0006136753,1,5
000613923X,1,5
0006140823,1,5
0006143199,8,5
000614330X,1,5
0006143490,1,5
0006145922,1,5
0006148891,1,5
0006149995,1,5
0006150624,1,5
0006150713,1,5
0006150853,1,5
0006152988,1,5
0006154298,1,5
0006154751,1,5
0006156487,1,5
0006156789,1,5
0006157114,1,5
0006157149,1,5
0006157629,1,5
0006157688,1,5
0006161529,1,5
0006163041,1,5
0006163831,1,5
0006164188,1,5
0006164587,1,5
0006164625,1,5
0006164900,1,5
0006165109,1,5
0006165966,1,5
0006166598,1,5
0006166881,1,5
0006167071,1,5
0006168663,1,5
0006168760,1,5
000616899X,1,5
0006170056,1,5
0006170218,1,5
0006170552,1,5
0006171788,1,5
0006171966,1,5
0006171982,7,5
0006172504,1,5
0006173284,1,5
0006173373,1,5
0006173438,1,5
0006173454,1,5
0006173527,1,5
0006174094,1,5
0006174116,1,5
0006174450,1,5
0006174817,1,5
0006174841,1,5
000617499X,1,5
000617521X,1,5
0006175317,1,5
0006175465,1,5
0006175473,1,5
0006176089,1,5
0006176100,1,5
000617616X,1,5
0006176267,1,5
0006176453,1,5
0006176550,1,5
0006176607,1,5
000617664X,1,5
0006176682,1,5
0006176747,6,5
0006176909,1,5
000617695X,1,5
0006176992,1,5
0006177018,1,5
0006177379,1,5
0006177409,1,5
0006177476,1,5
0006177492,6,5
0006177972,1,5
0006178316,1,5
000617843X,1,5
0006178499,1,5
000617891X,1,5
0006179223,1,5
0006179401,1,5
0006179983,1,5
0006198228,1,5
0006240038,1,5
0006248357,1,5
0006253725,1,5
0006254187,1,5
0006255450,1,5
0006268501,1,5
0006269281,1,5
0006269818,1,5
0006270182,1,5
0006271197,1,5
000627210X,1,5
0006273297,1,5
0006273637,1,5
0006275192,1,5
0006276199,1,5
0006276482,1,5
000627658X,1,5
0006278574,1,5
0006278663,1,5
0006278728,1,5
0006278841,1,5
0006279252,1,5
0006279295,1,5
0006279759,1,5
0006279945,1,5
000628003X,1,5
0006280323,1,5
0006280358,1,5
0006280625,1,5
0006280803,1,5
0006280838,1,5
0006281257,1,5
0006281443,1,5
0006281729,1,5
0006281745,1,5
0006323154,1,5
0006326587,1,5
0006329101,1,5
0006329497,1,5
0006329527,1,5
0006329535,1,5
0006331947,1,5
0006337619,1,5
0006338267,1,5
0006338445,1,5
0006339336,1,5
000634156X,1,5
0006341616,1,5
000634464X,1,5
0006345530,1,5
0006345549,1,5
0006351484,1,5
0006352537,1,5
0006356702,1,5
0006357032,1,5
0006359329,1,5
0006361862,1,5
0006363113,1,5
0006363121,8,5
0006364276,1,5
0006364896,1,5
0006364977,1,5
0006365280,1,5
0006365744,1,5
0006366023,7,5
0006366473,1,5
0006367763,1,5
0006368212,1,5
0006368409,1,5
0006368417,1,5
0006368573,1,5
0006369553,1,5
000636988X,1,5
0006370039,1,5
0006370101,1,5
0006370306,1,5
0006370470,1,5
0006370829,1,5
0006371078,1,5
0006371108,1,5
0006371248,1,5
0006371647,1,5
0006372007,1,5
0006372570,1,5
0006372899,1,5
0006374085,1,5
0006374093,1,5
0006374123,1,5
0006374603,1,5
0006374964,1,5
0006374999,1,5
0006375227,1,5
0006375340,1,5
0006375952,1,5
0006376010,1,5
0006376088,1,5
000637610X,1,5
0006377157,1,5
0006377211,1,5
0006377424,1,5
0006379095,1,5
0006379192,1,5
0006379702,5,5
0006379834,1,5
0006380158,1,5
0006380263,1,5
0006380344,1,5
0006380905,1,5
0006380921,1,5
0006380964,1,5
000638255X,1,5
0006382649,1,5
0006382797,1,5
0006382991,1,5
0006383777,1,5
0006383947,1,5
0006383963,1,5
0006384447,1,5
0006384617,1,5
0006384684,1,5
0006384722,1,5
0006384765,1,5
0006384803,1,5
0006384854,1,5
0006385079,1,5
0006385176,1,5
0006385192,1,5
0006385214,1,5
0006385370,1,5
0006385389,1,5
0006385400,1,5
0006385427,1,5
0006385583,1,5
0006385621,1,5
0006385648,1,5
0006385672,1,5
0006385729,1,5
0006385753,1,5
0006385826,1,5
0006385907,1,5
0006385923,1,5
0006385958,1,5
0006386040,1,5
0006386075,1,5
0006386369,1,5
0006386512,1,5
0006386601,1,5
0006386725,1,5
000638692X,1,5
0006388264,1,5
000638837X,1,5
0006388922,1,5
0006391702,1,5
0006391745,1,5
0006391893,1,5
0006391931,1,5
000639194X,1,5
0006392466,1,5
0006392776,1,5
0006470033,1,5
0006470041,1,5
0006470173,1,5
0006470599,1,5
0006471641,1,5
0006472079,1,5
0006472184,1,5
0006472648,1,5
0006473024,1,5
0006473369,1,5
0006474047,1,5
000647425X,1,5
0006474292,1,5
0006474950,1,5
0006475043,1,5
0006475205,1,5
0006475272,1,5
0006475329,1,5
0006476325,1,5
0006476333,1,5
0006478824,1,5
0006479383,1,5
0006479499,1,5
0006479561,1,5
0006479626,1,5
0006479650,1,5
0006479839,1,5
000648025X,1,5
0006480500,1,5
0006480551,1,5
0006480608,1,5
0006480764,1,5
0006480837,1,5
0006480853,1,5
000648090X,1,5
0006480985,1,5
0006481035,1,5
0006481078,1,5
0006481221,1,5
0006481558,1,5
0006481590,1,5
0006481604,1,5
0006481760,1,5
000648185X,1,5
0006481957,1,5
000648199X,1,5
0006482236,1,5
0006482678,1,5
000648302X,8,5
000648302x,8,5
0006483801,1,5
000648381X,1,5
0006485057,1,5
0006485200,1,5
0006485294,1,5
0006485405,1,5
0006485936,1,5
0006490255,1,5
0006490603,1,5
0006492126,1,5
0006492347,6,5
000649319X,1,5
000649613X,1,5
0006497683,1,5
0006497780,1,5
0006497810,1,5
0006497985,1,5
0006497993,1,5
0006498000,1,5
0006498019,1,5
0006498035,1,5
0006498159,1,5
0006498213,1,5
000649840X,8,5
000649840x,8,5
0006498493,10,5
0006498884,1,5
0006499031,1,5
0006499651,1,5
000649966X,1,5
0006510019,1,5
0006510973,1,5
0006511309,1,5
0006511767,1,5
000651202X,1,5
000651202x,1,5
0006512062,7,5
0006512143,1,5
0006512208,9,5
0006512674,1,5
0006512801,1,5
0006513395,1,5
0006513409,1,5
0006513492,1,5
0006513506,1,5
0006513549,1,5
0006514162,1,5
0006514278,1,5
0006514480,1,5
0006514588,1,5
0006514952,1,5
0006530397,1,5
0006530540,1,5
0006530826,1,5
0006531113,1,5
0006531407,1,5
0006531512,1,5
0006531520,1,5
0006532292,1,5
0006540031,1,5
0006540732,1,5
0006541038,1,5
0006541046,1,5
0006541224,1,5
0006541569,1,5
0006541593,1,5
0006541690,1,5
0006541917,1,5
0006542018,1,5
0006542050,1,5
0006542212,1,5
0006542549,1,5
0006542719,1,5
0006542735,1,5
0006542778,1,5
0006542808,1,5
0006543200,1,5
0006543413,1,5
0006543456,1,5
0006543545,7,5
0006543588,1,5
0006543677,1,5
0006543901,1,5
0006543936,1,5
0006544207,1,5
000654424X,1,5
0006544738,1,5
0006544959,1,5
0006545262,1,5
0006545726,1,5
0006545904,1,5
0006546684,8,5
000654679X,1,5
0006547168,1,5
0006547230,1,5
0006547486,1,5
0006547516,1,5
0006547613,1,5
0006547745,1,5
0006547753,1,5
0006547834,5,5
0006548040,1,5
0006548105,1,5
0006548180,1,5
0006548253,1,5
0006548539,1,5
000654861X,1,5
0006548830,1,5
0006550061,1,5
0006550193,1,5
0006550231,1,5
0006550258,1,5
0006550266,1,5
0006550401,1,5
0006550576,1,5
0006550649,1,5
0006550789,7,5
0006550835,1,5
0006550878,1,5
0006550924,1,5
0006551009,1,5
0006551076,6,5
0006551289,1,5
0006551688,1,5
0006551742,1,5
0006551785,1,5
0006551823,1,5
0006551912,1,5
0006551947,1,5
0006551971,1,5
0006552196,1,5
0006552390,5,5
0006552447,1,5
0006608345,1,5
0006614000,1,5
0006617999,1,5
0006618790,1,5
0006629954,1,5
0006640621,1,5
0006640672,1,5
0006640680,1,5
000664130X,1,5
0006641962,1,5
0006642004,1,5
0006642128,1,5
0006643094,1,5
0006645097,1,5
0006646093,1,5
0006705286,1,5
0006705294,1,5
0006709931,1,5
0006710263,1,5
0006711146,1,5
0006711286,1,5
0006712185,1,5
0006713203,1,5
0006713602,1,5
0006714994,1,5
0006715184,1,5
0006716032,1,5
0006716067,1,5
0006716652,1,5
000671675X,1,5
0006717047,1,5
0006717837,1,5
0006718124,1,5
0006719007,1,5
0006719465,1,5
0006719619,1,5
0006720307,1,5
0006721397,1,5
0006722946,1,5
0006722970,1,5
0006723845,1,5
0006723977,1,5
0006724361,1,5
0006725813,1,5
0006726143,1,5
0006726917,1,5
0006727492,1,5
000672843X,1,5
0006728537,1,5
0006728774,1,5
0006728790,1,5
000672888X,1,5
0006729835,8,5
0006733735,1,5
0006735819,1,5
000673765X,1,5
0006742106,1,5
0006742912,1,5
0006742939,1,5
0006742947,1,5
0006742955,1,5
0006743242,1,5
0006743773,1,5
0006746233,1,5
0006746624,1,5
0006747388,1,5
000674740X,1,5
0006747663,1,5
0006747957,1,5
0006748147,1,5
0006749135,1,5
0006749143,1,5
0006749151,1,5
0006749291,1,5
0006750222,1,5
0006750494,1,5
0006751032,1,5
0006751180,1,5
0006751229,1,5
0006751350,1,5
0006751504,1,5
0006751687,1,5
0006752225,1,5
000675239X,1,5
0006752586,1,5
000675368X,1,5
0006754376,1,5
0006754864,1,5
0006754872,1,5
0006860524,1,5
0006860982,1,5
0006861296,1,5
0006862926,1,5
0006863051,1,5
0006907423,1,5
0006908896,1,5
0006909159,1,5
0006913822,1,5
0006913881,1,5
0006915612,1,5
0006915728,1,5
0006915752,1,5
0006916147,1,5
0006917348,1,5
0006917437,1,5
0006922007,1,5
0006922066,1,5
0006922856,1,5
0006923119,1,5
0006923135,1,5
000692347X,1,5
0006923690,1,5
0006924034,1,5
0006924581,1,5
0006924875,1,5
0006925073,1,5
0006925200,1,5
0006925596,1,5
0006925979,1,5
0006926576,1,5
0006928110,1,5
0006928137,1,5
0006928145,1,5
0006928323,8,5
000692848X,1,5
0006929575,1,5
0006930131,1,5
0006930387,1,5
0006930409,1,5
0006930778,1,5
0006931820,1,5
0006931960,1,5
0006932126,1,5
0006932495,1,5
0006932649,1,5
0006932665,1,5
0006932991,1,5
0006934854,1,5
0006935192,1,5
0006936644,1,5
0006940862,1,5
0006940889,1,5
0006941575,1,5
0006944035,1,5
0007100108,1,5
0007100221,1,5
0007100353,1,5
0007100418,1,5
0007100787,1,5
0007100914,1,5
0007100922,1,5
0007100930,1,5
0007100957,1,5
0007100973,1,5
0007101260,1,5
0007101503,1,5
0007101929,1,5
0007101953,1,5
0007102038,1,5
0007102216,1,5
0007102763,1,5
0007102909,1,5
000710331X,1,5
0007103344,1,5
0007103352,1,5
0007103360,1,5
0007103867,1,5
0007103921,1,5
0007103999,1,5
0007104758,1,5
0007104820,1,5
0007105150,1,5
0007105665,1,5
0007105940,1,5
0007106130,1,5
0007106335,1,5
0007106572,2,5
0007106580,1,5
000710670X,1,5
000710698X,1,5
0007107110,1,5
0007107900,9,5
000710796X,1,5
0007108389,1,5
0007108419,1,5
0007108648,1,5
0007108834,1,5
0007109490,1,5
0007110014,1,5
0007110049,1,5
0007110162,1,5
0007110200,1,5
0007110219,1,5
0007110227,1,5
000711091X,1,5
0007110928,7,5
0007111819,1,5
000711303X,1,5
0007113323,1,5
0007113331,1,5
0007113463,1,5
000711365X,1,5
0007113668,1,5
0007113730,1,5
0007113862,1,5
0007114788,1,5
0007115989,1,5
0007116241,1,5
0007116276,1,5
0007116497,1,5
0007116993,1,5
0007117019,1,5
0007117221,1,5
000711737X,1,5
0007117507,1,5
0007117922,1,5
0007118465,5,5
0007118546,1,5
0007118600,1,5
0007119046,1,5
0007119070,1,5
0007119666,1,5
0007119704,1,5
0007119763,1,5
0007119860,1,5
0007119879,1,5
0007119887,1,5
0007120214,1,5
000712032X,1,5
0007121326,1,5
0007122039,1,5
0007122217,1,5
0007122861,1,5
000712287X,1,5
0007123469,1,5
0007123477,1,5
0007123760,1,5
0007124414,1,5
000712614X,1,5
0007126468,1,5
0007126972,1,5
0007127863,1,5
0007127898,1,5
0007127901,1,5
0007127936,1,5
000712855X,1,5
0007128568,1,5
0007128576,1,5
0007128908,1,5
0007128983,1,5
0007130058,1,5
0007130848,1,5
0007131518,1,5
0007133103,1,5
0007133235,1,5
0007134495,1,5
000713472X,1,5
0007135688,1,5
0007136013,1,5
0007136110,1,5
0007137427,1,5
0007137508,1,5
0007137559,1,5
0007139357,1,5
0007139411,2,5
0007140509,1,5
0007141076,1,5
0007141084,1,5
0007141335,1,5
0007143451,1,5
000714346X,1,5
0007143907,1,5
0007143923,1,5
0007144172,1,5
0007144350,1,5
0007147805,1,5
0007148119,1,5
0007149980,1,5
000715111X,1,5
0007154127,1,5
0007154607,1,5
0007154615,7,5
0007155093,1,5
0007155115,1,5
0007155182,1,5
0007156111,1,5
0007156154,1,5
0007157738,1,5
0007158130,1,5
0007160003,1,5
000716131X,1,5
0007161484,1,5
000716212X,1,5
000716226X,1,5
0007163541,1,5
0007163584,1,5
0007163665,1,5
0007164076,1,5
0007165498,1,5
0007170580,1,5
0007170734,1,5
0007170866,1,5
0007176023,1,5
000718302X,1,5
0007612591,1,5
0007612605,1,5
0007612621,1,5
0007631219,1,5
0007640617,1,5
000764065X,1,5
0007662726,1,5
0020002203,1,5
0020009607,1,5
0020016700,1,5
0020029101,1,5
0020066007,1,5
0020080956,1,5
0020083157,1,5
0020083513,1,5
0020088221,1,5
002008823X,1,5
0020088248,1,5
0020093616,1,5
0020095007,1,5
0020098014,1,5
0020098154,1,5
0020098200,1,5
0020102011,1,5
002010202X,1,5
0020103514,1,5
0020103700,1,5
002011690X,1,5
0020121903,1,5
0020122500,1,5
0020122802,1,5
0020125305,1,5
0020125607,1,5
002012600X,1,5
0020126131,1,5
0020128711,1,5
002013021X,1,5
0020130805,1,5
0020130902,1,5
0020133405,1,5
0020136609,1,5
0020136803,1,5
0020136900,1,5
0020139713,1,5
0020147953,1,5
0020150806,1,5
0020154402,1,5
0020155506,1,5
0020160909,1,5
0020160917,1,5
0020160925,1,5
0020163908,1,5
0020165609,1,5
0020178506,1,5
0020182104,1,5
0020184700,1,5
0020185103,1,5
0020186002,1,5
0020187505,1,5
0020188706,1,5
0020191200,1,5
0020195508,1,5
0020195907,1,5
0020197802,1,5
0020198507,1,5
0020198809,1,5
0020198817,1,5
0020198825,1,5
0020198841,1,5
0020198906,1,5
0020199031,1,5
0020199058,1,5
0020199082,1,5
0020199090,1,5
0020199201,1,5
0020199309,1,5
0020199406,1,5
0020199600,1,5
0020199708,1,5
0020199805,1,5
0020199856,1,5
0020207395,1,5
0020209606,1,5
0020209851,1,5
0020217811,1,5
002021782X,1,5
0020218079,1,5
0020223412,1,5
0020223439,1,5
0020223706,1,5
0020223714,1,5
0020223722,1,5
0020225512,1,5
0020225601,1,5
0020228724,1,5
0020228732,1,5
0020230001,1,5
0020236107,1,5
0020238207,1,5
0020238401,1,5
0020248504,1,5
0020248717,1,5
0020248806,1,5
0020258801,1,5
0020258909,1,5
002025900X,1,5
0020259018,1,5
0020259115,1,5
0020259204,1,5
0020259301,1,5
0020259409,1,5
0020259506,1,5
0020259700,1,5
0020259913,1,5
0020264763,1,5
0020264771,1,5
002026478X,1,5
0020264801,1,5
0020264852,1,5
0020280505,1,5
0020281455,1,5
0020282257,1,5
002028361X,1,5
0020283717,1,5
0020287003,1,5
0020287151,1,5
0020287208,1,5
0020288301,1,5
0020288905,1,5
0020291604,1,5
0020291655,1,5
0020291922,1,5
0020292651,1,5
0020295456,1,5
0020295804,1,5
0020296002,1,5
0020296304,1,5
0020296703,1,5
0020296800,1,5
0020298226,1,5
0020298625,1,5
002029865X,1,5
0020298919,1,5
0020299605,1,5
0020302258,1,5
0020302754,1,5
0020303750,1,5
0020304455,1,5
0020306652,1,5
0020307209,1,5
0020309813,1,5
0020310218,1,5
0020310404,1,5
0020310501,1,5
0020311605,1,5
0020312601,1,5
002031275X,1,5
0020315902,1,5
0020315910,1,5
0020322208,1,5
0020322305,1,5
0020332009,1,5
0020332858,1,5
002034080X,1,5
0020345151,1,5
0020345305,1,5
0020346212,1,5
0020350457,1,5
002035620X,1,5
002036041X,1,5
0020360487,1,5
0020360703,1,5
0020360754,1,5
0020361602,1,5
0020363702,1,5
002037500X,1,5
0020381301,1,5
002038260X,1,5
0020383142,1,5
002040400X,1,5
0020404417,1,5
0020404808,1,5
0020406312,1,5
0020407009,1,5
0020407114,1,5
0020408811,1,5
0020409206,1,5
0020411502,1,5
0020412304,1,5
0020412401,1,5
0020413904,1,5
0020415133,1,5
0020416407,1,5
0020418000,1,5
0020418205,1,5
0020418302,1,5
0020418507,1,5
0020418604,1,5
0020418809,1,5
0020419201,1,5
0020419805,1,5
0020420102,1,5
0020420307,1,5
0020420404,1,5
0020420900,1,5
0020421303,1,5
0020421508,1,5
0020421605,1,5
0020421907,1,5
0020422105,1,5
0020422601,1,5
0020423500,1,5
0020423802,1,5
0020425201,1,5
0020425724,1,5
0020425732,1,5
0020425740,1,5
0020425759,1,5
0020426402,1,5
0020426801,6,5
0020426917,1,5
002042700X,1,5
0020427018,1,5
0020427107,1,5
0020427115,1,5
0020427204,1,5
0020427212,1,5
0020427611,1,5
002042762X,1,5
0020427662,1,5
0020427697,1,5
0020427751,1,5
0020427859,1,5
0020427867,1,5
0020427883,1,5
0020429819,1,5
0020430507,1,5
0020430701,1,5
002043300X,1,5
0020433115,1,5
0020434804,1,5
0020434901,1,5
0020435207,1,5
0020436904,1,5
0020437501,1,5
0020439210,1,5
0020441207,1,5
0020441401,1,5
0020441509,1,5
0020441916,1,5
0020442009,1,5
0020442106,1,5
0020442203,1,5
0020442300,1,5
0020442408,1,5
0020442505,1,5
0020442602,1,5
0020442807,1,5
0020444206,1,5
0020444303,1,5
0020444400,1,5
0020444451,1,5
0020444648,1,5
0020444907,1,5
0020446500,8,5
0020446519,1,5
0020447019,1,5
0020449313,1,5
0020449380,1,5
002045211X,1,5
0020452705,1,5
0020455402,1,5
0020474105,1,5
002047430X,1,5
0020483600,1,5
0020486200,1,5
0020509871,1,5
0020515308,1,5
0020517505,1,5
0020517602,1,5
0020518102,1,5
0020518307,1,5
0020518501,9,5
0020518609,1,5
0020518706,1,5
0020518803,1,5
0020518900,1,5
0020519001,7,5
0020519109,1,5
0020519303,1,5
0020519605,1,5
0020532105,1,5
0020545304,1,5
0020545401,1,5
0020545509,1,5
002054555X,1,5
002054720X,1,5
0020548907,1,5
0020552009,1,5
0020554109,1,5
0020554303,1,5
0020554400,1,5
0020556403,1,5
0020583516,1,5
0020590016,1,5
0020598904,1,5
0020620497,1,5
0020631502,1,5
0020633505,1,5
0020636903,1,5
0020641400,1,5
0020648200,1,5
0020652909,1,5
0020655207,1,5
0020697406,1,5
0020698445,1,5
0020698453,1,5
0020698461,1,5
0020700105,1,5
0020700202,1,5
0020705301,1,5
0020707509,1,5
0020715609,1,5
0020720203,1,5
0020762003,1,5
002076250X,1,5
0020764502,1,5
0020768702,1,5
0020772904,1,5
0020776802,1,5
0020777108,1,5
0020777507,1,5
